subject,relation,object
蜜糖吐司,口感,有机花菜
蜜糖吐司,口感,蜜糖吐司
食物,名称,牛排馆
牛排馆,外形,独幢的小别墅
牛排馆,外形,其貌不扬
食物,名称,凯撒色拉
凯撒色拉,口感,清爽
凯撒色拉,外形,清清口
凯撒色拉,外形,其貌不扬
食物,名称,小面包
小面包,味道,其貌不扬
小面包,口感,奶香味道十足
小面包,口感,清爽
小面包,口感,其貌不扬
小面包,外形,清清口
小面包,外形,其貌不扬
食物,名称,西冷
西冷,外形,其貌不扬
牛排,外形,其貌不扬
食物,名称,提拉米苏
提拉米苏,口感,滑滑的
食物,名称,布丁
布丁,口感,滑滑的
食物,名称,柠檬塔
柠檬塔,口感,浓郁
柠檬塔,外形,滑滑的
柠檬塔,外形,漂亮
食物,名称,橙汁西瓜汁
橙汁西瓜汁,口感,鲜榨的
食物,名称,汤
汤,外形,多
汤,外形,起泡酒
汤,外形,奶油蘑菇汤
食物,名称,披萨
披萨,口感,咸
披萨,口感,脆脆的
披萨,外形,薄底的
食物,名称,汉堡
汉堡,口感,鲜嫩多汁
食物,名称,巧克力蛋糕
巧克力蛋糕,口感,浓郁
巧克力蛋糕,口感,滑滑的
食物,名称,南瓜浓汤
南瓜浓汤,味道,香
南瓜浓汤,味道,鲜甜鲜甜
南瓜浓汤,味道,奶油味
披萨,外形,巴贝拉萨莉亚
汉堡,口感,牛排馆
汉堡,口感,凯撒色拉
汉堡,口感,小面包
汉堡,口感,西冷
汉堡,口感,牛排
汉堡,口感,提拉米苏
汉堡,口感,布丁
汉堡,口感,柠檬塔
汉堡,口感,橙汁西瓜汁
汉堡,口感,汤
汉堡,口感,起泡酒
汉堡,口感,奶油蘑菇汤
汉堡,口感,披萨
汉堡,口感,汉堡
汉堡,口感,巧克力蛋糕
汉堡,口感,南瓜浓汤
汉堡,口感,巴贝拉萨莉亚
食物,名称,重庆火锅
重庆火锅,味道,麻
重庆火锅,味道,辣
重庆火锅,味道,茶
重庆火锅,味道,重庆火锅
寿司,外形,巨大
食物,名称,章鱼小丸子
章鱼小丸子,口感,一般
食物,名称,外卖寿司
外卖寿司,外形,塞嘴里
外卖寿司,外形,巨大
食物,名称,焦糖三文鱼
焦糖三文鱼,外形,巨大
寿司,外形,寿司
寿司,外形,章鱼小丸子
寿司,外形,外卖寿司
寿司,外形,焦糖三文鱼
食物,名称,卷馍
卷馍,味道,味美价廉
卷馍,外形,没有味
卷馍,外形,高了点
酸辣粉,味道,好辣
卷馍,外形,黑米粥
卷馍,外形,卷馍
卷馍,外形,酸辣粉
食物,名称,奶香牛舌
奶香牛舌,口感,香
奶香牛舌,口感,吃不动
食物,名称,酸乳瓜
酸乳瓜,口感,清脆爽口
食物,名称,奶油土豆泥
奶油土豆泥,味道,香
食物,名称,生鱼沙拉
生鱼沙拉,口感,腥
生鱼沙拉,口感,吃不动
食物,名称,烤猪肉
烤猪肉,外形,重
烤猪肉,外形,大
食物,名称,牛舌
牛舌,口感,奶香
牛舌,口感,吃不动
食物,名称,炸猪扒
炸猪扒,外形,重
炸猪扒,外形,大
食物,名称,苹果鸭胸
苹果鸭胸,味道,甜
苹果鸭胸,味道,奶香牛舌
苹果鸭胸,味道,酸乳瓜
苹果鸭胸,味道,奶油土豆泥
苹果鸭胸,味道,生鱼沙拉
苹果鸭胸,味道,烤猪肉
苹果鸭胸,味道,牛舌
苹果鸭胸,味道,炸猪扒
苹果鸭胸,味道,苹果鸭胸
食物,名称,东坡肉
东坡肉,味道,不咋滴
汤,口感,温好的
汤,口感,稀烂
食物,名称,笋干老鸭煲
笋干老鸭煲,口感,稀烂
食物,名称,元宝大虾
元宝大虾,口感,油
元宝大虾,口感,嫩
食物,名称,秋葵炒木耳
秋葵炒木耳,口感,解腻
食物,名称,玫瑰糕
玫瑰糕,外形,多
玫瑰糕,外形,东坡肉
玫瑰糕,外形,汤
玫瑰糕,外形,笋干老鸭煲
玫瑰糕,外形,元宝大虾
玫瑰糕,外形,秋葵炒木耳
玫瑰糕,外形,玫瑰糕
食物,名称,十三香
十三香,外形,带辣味
十三香,外形,个头不大
烤鱼,口感,好
烤鱼,外形,单调些许
烤鱼,外形,不大
烤鱼,外形,烤串串
食物,名称,烧烤
烧烤,外形,十三香
烧烤,外形,个头不大
烤生蚝,口感,不够味
烤生蚝,外形,肥美
食物,名称,大排档
大排档,外形,随意空间
十三香,外形,啤酒
十三香,外形,十三香
十三香,外形,烤鱼
十三香,外形,烤串串
十三香,外形,烧烤
十三香,外形,烤生蚝
十三香,外形,大排档
红烧肉,外形,菜团子
红烧肉,外形,沸腾鱼乡
红烧肉,外形,杏鲍菇炒牛肉
红烧肉,外形,烤串
红烧肉,外形,羊腿肉
红烧肉,外形,麻酱油麦菜
红烧肉,外形,水煮虹鳟
红烧肉,外形,红烧肉
食物,名称,拌黄瓜拉皮
拌黄瓜拉皮,味道,咸
食物,名称,烤羊排
烤羊排,口感,热
烤羊排,口感,烤好
烤羊排,口感,水煮鱼
烤羊排,口感,土豆炖大鹅
羊排,口感,热
羊排,口感,烤好
羊排,口感,炖脊骨
羊排,口感,小鸡炖蘑菇
羊排,口感,毛血旺
羊排,口感,铁锅炖江鱼
羊排,口感,拌黄瓜拉皮
羊排,口感,烤羊排
羊排,口感,水煮鱼
羊排,口感,土豆炖大鹅
羊排,口感,羊排
火锅,味道,有特色
食物,名称,酒酿
酒酿,外形,少了点
酒酿,外形,小圆子
酒酿,外形,火锅
酒酿,外形,酒酿
食物,名称,金吉鱼
金吉鱼,口感,鲜甜肥美
金吉鱼,口感,细腻
金吉鱼,外形,酥酥
金吉鱼,外形,大
食物,名称,味增饭团
味增饭团,味道,米香味儿
味增汤,味道,米香味儿
食物,名称,年糕锅
年糕锅,口感,浓郁
年糕锅,口感,糯米
年糕锅,口感,金吉鱼
年糕锅,口感,味增饭团
年糕锅,口感,味增汤
年糕锅,口感,年糕锅
食物,名称,牛雪花
牛雪花,口感,嫩
食物,名称,石盘烤肉
石盘烤肉,口感,油烟味
石盘烤肉,外形,缩手缩脚
石盘烤肉,外形,小的可怜
食物,名称,喷火烤肉
喷火烤肉,味道,油烟味
石盘烤肉,外形,泡菜饼
石盘烤肉,外形,芝士炒饭
石盘烤肉,外形,牛雪花
石盘烤肉,外形,石盘烤肉
石盘烤肉,外形,喷火烤肉
食物,名称,秋刀鱼
秋刀鱼,外形,少
秋刀鱼,外形,烩面
食物,名称,鸡肉卷
食物,名称,辣汁烤香菇
辣汁烤香菇,口感,香嫩多汁
食物,名称,烤翅
烤翅,味道,不太入味
烤翅,味道,没有腌制
食物,名称,盐味串烧大虾
盐味串烧大虾,口感,好
盐味串烧大虾,外形,个大肉多
盐味串烧大虾,外形,霸王餐
食物,名称,摩登烧
摩登烧,味道,吃不出来啥味
食物,名称,板烧
板烧,味道,吃不出来啥味
板烧,味道,秋刀鱼
板烧,味道,烩面
板烧,味道,鸡肉卷
板烧,味道,辣汁烤香菇
板烧,味道,烤翅
板烧,味道,盐味串烧大虾
板烧,味道,霸王餐
板烧,味道,摩登烧
板烧,味道,板烧
食物,名称,小丸子
小丸子,口感,粘粘的
小丸子,外形,酥脆软嫩
小丸子,外形,个头挺大
食物,名称,扇贝小丸子
扇贝小丸子,口感,粘粘的
扇贝小丸子,口感,酥脆软嫩
食物,名称,鸡肉串
鸡肉串,口感,入味
鸡肉串,口感,嫩
鸡肉串,口感,热热的
鸡肉串,口感,软糯可口
食物,名称,芝士的拉丝
芝士的拉丝,味道,菜香
食物,名称,卷心菜
卷心菜,外形,菜香
卷心菜,外形,大粒的
小丸子,外形,小丸子
小丸子,外形,扇贝小丸子
小丸子,外形,鸡肉串
小丸子,外形,芝士的拉丝
小丸子,外形,卷心菜
食物,名称,京酱肉丝
京酱肉丝,味道,打死买盐
京酱肉丝,味道,酱猪手
京酱肉丝,味道,烧鸡
食物,名称,哈尔滨红肠
哈尔滨红肠,外形,薄
哈尔滨红肠,外形,东北菜馆
饺子,外形,手工包的
饺子,外形,京酱肉丝
饺子,外形,酱猪手
饺子,外形,烧鸡
饺子,外形,哈尔滨红肠
饺子,外形,东北菜馆
饺子,外形,饺子
食物,名称,添福
添福,味道,好
添福,味道,焦烧大排
添福,味道,蛎黄豆腐汤
添福,味道,石锅蝶鱼头
添福,味道,添福
食物,名称,水波蛋
水波蛋,外形,腥味
水波蛋,外形,流水
食物,名称,烤西红柿
烤西红柿,味道,腥味
食物,名称,烟熏三文鱼
烟熏三文鱼,味道,咸咸的
烟熏三文鱼,口感,腥味
烟熏三文鱼,口感,硬
烟熏三文鱼,口感,咸咸的
食物,名称,曲奇饼干
曲奇饼干,口感,酥酥的
食物,名称,培根炒土豆
培根炒土豆,味道,腥味
培根炒土豆,口感,咸咸的
培根炒土豆,口感,硬
食物,名称,美式咖啡
美式咖啡,味道,巧克力味
食物,名称,烟熏三文鱼水波蛋
烟熏三文鱼水波蛋,味道,腥味
烟熏三文鱼水波蛋,味道,咸咸的
烤西红柿,味道,牛排
烤西红柿,味道,咖啡
烤西红柿,味道,烤面包
烤西红柿,味道,水波蛋
烤西红柿,味道,烤西红柿
烤西红柿,味道,烟熏三文鱼
烤西红柿,味道,曲奇饼干
烤西红柿,味道,培根炒土豆
烤西红柿,味道,美式咖啡
烤西红柿,味道,烟熏三文鱼水波蛋
食物,名称,炒刀削面
炒刀削面,外形,美味
炒刀削面,外形,面亮
食物,名称,杂酱面
杂酱面,外形,美味
杂酱面,外形,面亮
食物,名称,油泼面
油泼面,外形,美味
油泼面,外形,面亮
食物,名称,刀削面
刀削面,味道,美味
刀削面,外形,一级棒
刀削面,外形,面亮
食物,名称,鸡汤刀削面
鸡汤刀削面,外形,美味
鸡汤刀削面,外形,面亮
鸡汤刀削面,外形,炒刀削面
鸡汤刀削面,外形,杂酱面
鸡汤刀削面,外形,油泼面
鸡汤刀削面,外形,刀削面
鸡汤刀削面,外形,鸡汤刀削面
食物,名称,面包汤
面包汤,口感,饱满
面包汤,外形,能吃的饱
面包汤,外形,大
食物,名称,咕噜肉
咕噜肉,味道,该甜的甜
咕噜肉,味道,酸
咕噜肉,口感,有药吗
咕噜肉,口感,脆
咕噜肉,外形,坨了汁
咕噜肉,外形,外皮
咕噜肉,外形,奇特
咕噜肉,外形,肥肉
食物,名称,芒果千层
芒果千层,外形,三味山药
芒果千层,外形,大
食物,名称,红球山药泥
红球山药泥,外形,酸酸甜甜
红球山药泥,外形,柱状
红球山药泥,外形,球状
食物,名称,菠萝咕噜肉
菠萝咕噜肉,口感,该甜的甜
菠萝咕噜肉,外形,脆
菠萝咕噜肉,外形,奇特
食物,名称,罗勒鲜虾
罗勒鲜虾,外形,绿色的
食物,名称,山药
山药,口感,甜咸
山药,外形,脆脆的
山药,外形,条状
山药,外形,柱状
山药,外形,球状
山药,外形,意面
食物,名称,海鲜周打面包汤
海鲜周打面包汤,口感,饱满
海鲜周打面包汤,外形,能吃的饱
海鲜周打面包汤,外形,大
面条,口感,没有期待中的美味
面条,外形,坨了汁
面条,外形,精致
食物,名称,千层饼
千层饼,口感,迷人
千层饼,外形,迷人
千层饼,外形,大
千层饼,外形,面包汤
千层饼,外形,咕噜肉
千层饼,外形,芒果千层
千层饼,外形,红球山药泥
千层饼,外形,菠萝咕噜肉
千层饼,外形,罗勒鲜虾
千层饼,外形,山药
千层饼,外形,意面
千层饼,外形,海鲜周打面包汤
千层饼,外形,面条
千层饼,外形,千层饼
食物,名称,蒸食年代原生态美食
蒸食年代原生态美食,口感,荷香
蒸食年代原生态美食,口感,入口即化
蒸食年代原生态美食,口感,蒸食年代原生态美食
食物,名称,皇后面包
皇后面包,味道,新鲜
皇后面包,口感,香气四溢
皇后面包,口感,入口松软
皇后面包,口感,丰富纤维
食物,名称,皇后饼店
皇后饼店,味道,新鲜
皇后饼店,味道,推陈出新
皇后饼店,味道,健康
皇后饼店,口感,新鲜
皇后饼店,外形,入口松软
皇后饼店,外形,创新造型
皇后饼店,外形,皇后面包
皇后饼店,外形,皇后饼店
食物,名称,蛋糕
蛋糕,味道,赞
蛋糕,味道,自制香蕉味
食物,名称,自制丸子
自制丸子,味道,自制香蕉味
食物,名称,烤三黄鱼
烤三黄鱼,味道,木瓜味
烤三黄鱼,味道,自制香蕉味
食物,名称,一番茄锅
一番茄锅,味道,不错
食物,名称,二菌汤锅
二菌汤锅,味道,不错
二菌汤锅,味道,木瓜味饮料
二菌汤锅,味道,哈密瓜
寿司,味道,自制香蕉味
食物,名称,自制牛排
自制牛排,味道,自制香蕉味
自制牛排,味道,三麻辣锅
自制牛排,味道,蛋糕
自制牛排,味道,自制丸子
自制牛排,味道,烤三黄鱼
自制牛排,味道,一番茄锅
自制牛排,味道,二菌汤锅
自制牛排,味道,木瓜味饮料
自制牛排,味道,哈密瓜
自制牛排,味道,寿司
自制牛排,味道,自制牛排
食物,名称,咖喱蟹
咖喱蟹,味道,浓郁
冬阴功汤,口感,香浓的味道和那种清透的香料味
冬阴功汤,口感,清透
食物,名称,菠萝炒饭
菠萝炒饭,味道,清甜
食物,名称,冬阴功
冬阴功,味道,香料味
冬阴功,味道,香浓
冬阴功,口感,温馨
冬阴功,口感,清透
食物,名称,菠萝饭
菠萝饭,味道,清甜
冬阴功汤,口感,咖喱蟹
冬阴功汤,口感,菠萝炒饭
冬阴功汤,口感,冬阴功
冬阴功汤,口感,菠萝饭
皮蛋瘦肉粥,口感,黏
食物,名称,面
面,味道,鲜
食物,名称,粥
粥,口感,黏
食物,名称,招牌云吞面
招牌云吞面,味道,鲜
粥,口感,冬瓜蜜
粥,口感,皮蛋瘦肉粥
粥,口感,面
粥,口感,粥
粥,口感,招牌云吞面
食物,名称,青笋片
青笋片,口感,好
青笋片,口感,海底捞
青笋片,口感,霸王餐
青笋片,口感,钟水饺
青笋片,口感,青笋片
食物,名称,超值披萨
超值披萨,味道,新鲜
超值披萨,味道,不和谐感
超值披萨,口感,番薯味
超值披萨,口感,饱腹感
披萨,味道,番薯味
披萨,味道,不和谐感
披萨,口感,新鲜
披萨,外形,饱腹感
披萨,外形,长得一样
食物,名称,芝士
芝士,外形,脆脆的
芝士,外形,长得一样
芝士,外形,双层的
食物,名称,中式番薯酱
中式番薯酱,味道,不和谐感
中式番薯酱,味道,新鲜
中式番薯酱,口感,番薯味
中式番薯酱,口感,饱腹感
食物,名称,奥尔良脆鸡披萨
奥尔良脆鸡披萨,味道,番薯味
奥尔良脆鸡披萨,味道,不和谐感
奥尔良脆鸡披萨,口感,新鲜
奥尔良脆鸡披萨,口感,脆脆的
奥尔良脆鸡披萨,口感,饱腹感
食物,名称,小美式
小美式,外形,长得一样
披萨,外形,超值披萨
披萨,外形,披萨
披萨,外形,芝士
披萨,外形,中式番薯酱
披萨,外形,奥尔良脆鸡披萨
披萨,外形,小美式
食物,名称,肉汁萝卜
肉汁萝卜,味道,入味
肉汁萝卜,味道,珊瑚蚌
食物,名称,赤豆酒酿圆子
赤豆酒酿圆子,味道,入味
赤豆酒酿圆子,味道,丹桂藕
食物,名称,千层油糕
千层油糕,口感,重
千层油糕,口感,吃了一口吐掉了
千层油糕,口感,葱油豆干
汤,味道,鲜
汤,口感,鲜
汤,口感,剩了一半
汤,口感,麻辣鸭血
汤,口感,川贝雪梨
汤,口感,竹蔗马蹄水
赤豆酒酿圆子,味道,川贝雪梨
赤豆酒酿圆子,味道,王府豉油
赤豆酒酿圆子,味道,肉汁萝卜
赤豆酒酿圆子,味道,珊瑚蚌
赤豆酒酿圆子,味道,赤豆酒酿圆子
赤豆酒酿圆子,味道,千层油糕
赤豆酒酿圆子,味道,葱油豆干
赤豆酒酿圆子,味道,汤
赤豆酒酿圆子,味道,麻辣鸭血
赤豆酒酿圆子,味道,竹蔗马蹄水
披萨,味道,正宗
食物,名称,美式披萨
美式披萨,味道,正宗
美式披萨,味道,饺子
美式披萨,味道,沙拉
美式披萨,味道,披萨
美式披萨,味道,美式披萨
食物,名称,男眼镜
男眼镜,口感,不错
食物,名称,开背虾
开背虾,口感,嫩
开背虾,口感,滑
开背虾,外形,油而不腻
开背虾,外形,碧绿翡翠
食物,名称,发糕虾筒
发糕虾筒,口感,入味
发糕虾筒,口感,脆
发糕虾筒,口感,松软
食物,名称,船工鱼
船工鱼,口感,酸酸甜甜
船工鱼,口感,嫩滑
食物,名称,碧绿翡翠
碧绿翡翠,口感,开胃
碧绿翡翠,口感,清爽可口
食物,名称,发糕
发糕,口感,松软
发糕,口感,男眼镜
发糕,口感,开背虾
发糕,口感,发糕虾筒
发糕,口感,船工鱼
发糕,口感,碧绿翡翠
发糕,口感,发糕
食物,名称,嫩豆腐汤
嫩豆腐汤,味道,不错
嫩豆腐汤,味道,喜来稀肉
食物,名称,护心肉
护心肉,味道,甜
护心肉,口感,甜味
护心肉,口感,腻
护心肉,口感,石锅拌饭
护心肉,口感,嫩豆腐汤
护心肉,口感,喜来稀肉
护心肉,口感,护心肉
食物,名称,吐司
吐司,味道,新
食物,名称,月饼
月饼,味道,新
月饼,味道,吐司
月饼,味道,月饼
食物,名称,炒饭
炒饭,口感,香
炒饭,外形,颗粒分明
食物,名称,米饭
米饭,外形,金黄色的
食物,名称,菌菇煎包
菌菇煎包,外形,嚼不动
菌菇煎包,外形,皮厚
食物,名称,小紫薯
小紫薯,口感,香香甜甜
小紫薯,口感,软软糯糯
小紫薯,外形,香香甜甜
小紫薯,外形,好看
食物,名称,一品煲
一品煲,口感,烂烂的
粥,外形,金黄色
食物,名称,咸蛋黄南瓜
咸蛋黄南瓜,味道,干
咸蛋黄南瓜,口感,香
咸蛋黄南瓜,口感,干
咸蛋黄南瓜,口感,炒饭
咸蛋黄南瓜,口感,米饭
咸蛋黄南瓜,口感,菌菇煎包
咸蛋黄南瓜,口感,小紫薯
咸蛋黄南瓜,口感,一品煲
咸蛋黄南瓜,口感,粥
咸蛋黄南瓜,口感,咸蛋黄南瓜
食物,名称,泡菜炒五花肉
泡菜炒五花肉,口感,苦味
泡菜炒五花肉,外形,红呼呼
泡菜炒五花肉,外形,一个颜色
泡菜炒五花肉,外形,肋排
食物,名称,蜜汁鸡翅
蜜汁鸡翅,味道,独特
蜜汁鸡翅,味道,酸酸甜甜
食物,名称,秘制鸡翅
秘制鸡翅,外形,红呼呼
米饭,外形,红呼呼
米饭,外形,一个颜色
食物,名称,年糕玉米
年糕玉米,味道,没有味道
年糕玉米,味道,没带心儿
年糕玉米,口感,入味
年糕玉米,口感,黄黄的
年糕玉米,口感,脆
年糕玉米,外形,带心儿
年糕玉米,外形,小小的
年糕玉米,外形,黄黄的
泡菜炒五花肉,外形,泡菜炒五花肉
泡菜炒五花肉,外形,蜜汁鸡翅
泡菜炒五花肉,外形,秘制鸡翅
泡菜炒五花肉,外形,米饭
泡菜炒五花肉,外形,年糕玉米
食物,名称,玉兰饼
玉兰饼,外形,麻球差不多
食物,名称,蟹粉豆腐
蟹粉豆腐,口感,美味
蟹粉豆腐,口感,清晰可见
蟹粉豆腐,口感,完整的
蟹粉豆腐,外形,下功夫
蟹粉豆腐,外形,清晰可见
蟹粉豆腐,外形,三凤桥
食物,名称,汤螺蛳
汤螺蛳,味道,清淡
汤螺蛳,口感,清淡
食物,名称,酱油红汤底
酱油红汤底,口感,清淡
食物,名称,酱排骨
酱排骨,口感,咸的
酱排骨,口感,软骨
酱排骨,口感,有嚼劲
酱排骨,外形,肥瘦适中
酱排骨,外形,鲜肉月饼
酱排骨,外形,西餐
清炒虾仁,外形,玉兰饼
清炒虾仁,外形,蟹粉豆腐
清炒虾仁,外形,三凤桥
清炒虾仁,外形,汤螺蛳
清炒虾仁,外形,酱油红汤底
清炒虾仁,外形,酱排骨
清炒虾仁,外形,鲜肉月饼
清炒虾仁,外形,西餐
清炒虾仁,外形,清炒虾仁
食物,名称,凉拌木耳
凉拌木耳,口感,甜
凉拌木耳,口感,脆嫩
凉拌木耳,口感,油焖
食物,名称,家常茄子
家常茄子,口感,甜
家常茄子,外形,油腻
食物,名称,腐竹麦芹
腐竹麦芹,口感,辣
腐竹麦芹,口感,油腻
腐竹麦芹,口感,茶
食物,名称,码头酸汤鱼
码头酸汤鱼,口感,酸辣带田
码头酸汤鱼,外形,嫩
码头酸汤鱼,外形,不大
食物,名称,苗玲酸汤鱼
苗玲酸汤鱼,口感,酸辣带田
苗玲酸汤鱼,外形,嫩
苗玲酸汤鱼,外形,多
苗玲酸汤鱼,外形,四季恋
苗玲酸汤鱼,外形,凉拌木耳
苗玲酸汤鱼,外形,油焖
苗玲酸汤鱼,外形,家常茄子
苗玲酸汤鱼,外形,腐竹麦芹
苗玲酸汤鱼,外形,茶
苗玲酸汤鱼,外形,码头酸汤鱼
苗玲酸汤鱼,外形,苗玲酸汤鱼
食物,名称,干蒸烧麦
干蒸烧麦,口感,浓厚紧致
干蒸烧麦,口感,牛腩煲
干蒸烧麦,口感,肠粉
干蒸烧麦,口感,干蒸烧麦
食物,名称,料理
料理,外形,精致小巧
三文鱼,味道,新鲜度
三文鱼,味道,新鲜
三文鱼,味道,新鲜的
食物,名称,刺身
刺身,外形,精致小巧
食物,名称,盐烧三文鱼头
盐烧三文鱼头,味道,新鲜度
盐烧三文鱼头,味道,新鲜的
盐烧三文鱼头,外形,新鲜
盐烧三文鱼头,外形,精致小巧
寿司,外形,精致小巧
食物,名称,白金枪
白金枪,味道,新鲜度
白金枪,味道,新鲜
食物,名称,尚品寿司
尚品寿司,外形,精致小巧
食物,名称,甜虾刺身
甜虾刺身,外形,新鲜
甜虾刺身,外形,精致小巧
食物,名称,北极贝
北极贝,味道,新鲜
食物,名称,樱花寿司
樱花寿司,外形,精致小巧
寿司,外形,料理
寿司,外形,三文鱼
寿司,外形,刺身
寿司,外形,盐烧三文鱼头
寿司,外形,白金枪
寿司,外形,尚品寿司
寿司,外形,甜虾刺身
寿司,外形,北极贝
寿司,外形,樱花寿司
啤酒,外形,气派
啤酒,外形,饺子宴
啤酒,外形,宋城千古情
啤酒,外形,啤酒
食物,名称,精品烤鸭
精品烤鸭,外形,精致
食物,名称,海鲜
海鲜,口感,鲜活的
烤鸭,外形,不错
烤鸭,外形,精致
烤鸭,外形,一目了然
烤鸭,外形,薄厚均匀
食物,名称,夫妻肺片
夫妻肺片,外形,麻辣味道
夫妻肺片,外形,精致
夫妻肺片,外形,米
食物,名称,全聚德
全聚德,外形,面貌一新
全聚德,外形,显眼
食物,名称,烤鸭店
烤鸭店,外形,精致
食物,名称,传统烤鸭
传统烤鸭,外形,黑
食物,名称,香橙萝卜苗儿
香橙萝卜苗儿,口感,麻辣味道
香橙萝卜苗儿,口感,清脆爽口
香橙萝卜苗儿,口感,开胃解腻
香橙萝卜苗儿,外形,酸甜适中
香橙萝卜苗儿,外形,精致
香橙萝卜苗儿,外形,米
食物,名称,麻辣
麻辣,外形,精致
麻辣,外形,精品烤鸭
麻辣,外形,海鲜
麻辣,外形,烤鸭
麻辣,外形,夫妻肺片
麻辣,外形,全聚德
麻辣,外形,烤鸭店
麻辣,外形,传统烤鸭
麻辣,外形,香橙萝卜苗儿
麻辣,外形,麻辣
食物,名称,桃园三结义
桃园三结义,味道,辣
桃园三结义,口感,重辣
桃园三结义,外形,好老
食物,名称,麻辣牛肉
麻辣牛肉,味道,辣
麻辣牛肉,味道,桃园三结义
麻辣牛肉,味道,麻辣牛肉
食物,名称,茅屎坑串串
茅屎坑串串,味道,村味十足
茅屎坑串串,外形,变态辣
茅屎坑串串,外形,小
食物,名称,草鸡
草鸡,味道,辣
草鸡,味道,变态辣
草鸡,口感,越吃越辣
草鸡,口感,胃疼
食物,名称,串串
串串,味道,变态辣
串串,外形,村味十足
串串,外形,小
串串,外形,茅屎坑串串
串串,外形,草鸡
串串,外形,串串
食物,名称,三丝炒米线
三丝炒米线,口感,清香可口
三丝炒米线,口感,火候好
三丝炒米线,外形,清香可口
三丝炒米线,外形,小
食物,名称,鲜烤花蛤
鲜烤花蛤,口感,清香可口
鲜烤花蛤,口感,火候好
鲜烤花蛤,外形,清香可口
鲜烤花蛤,外形,小
食物,名称,烤培根卷
烤培根卷,外形,小
烤培根卷,外形,烧烤店
食物,名称,手撕羔羊排
手撕羔羊排,口感,不错
手撕羔羊排,外形,好
手撕羔羊排,外形,小
手撕羔羊排,外形,三丝炒米线
手撕羔羊排,外形,鲜烤花蛤
手撕羔羊排,外形,烤培根卷
手撕羔羊排,外形,烧烤店
手撕羔羊排,外形,手撕羔羊排
食物,名称,番茄牛肉粉
番茄牛肉粉,外形,小
肥牛,味道,没入味
肥牛,味道,没味道
食物,名称,麻辣金针菇肥牛粉
麻辣金针菇肥牛粉,味道,没味道
麻辣金针菇肥牛粉,味道,没入味
麻辣金针菇肥牛粉,口感,辣
麻辣金针菇肥牛粉,口感,欠一点火候
麻辣金针菇肥牛粉,口感,管饱
麻辣金针菇肥牛粉,口感,番茄牛肉粉
麻辣金针菇肥牛粉,口感,肥牛
麻辣金针菇肥牛粉,口感,麻辣金针菇肥牛粉
食物,名称,芒果糯米糍
芒果糯米糍,外形,小
食物,名称,香蕉班戟
香蕉班戟,口感,新鲜
香蕉班戟,外形,糊嘴
香蕉班戟,外形,白的
食物,名称,芒果班戟
芒果班戟,口感,新鲜
芒果班戟,外形,糊嘴
芒果班戟,外形,白的
食物,名称,芒果黑糯米
芒果黑糯米,味道,甜甜
芒果黑糯米,味道,酸
芒果黑糯米,外形,甜
芒果黑糯米,外形,小了一份也太少不太够香蕉班戟不如要芒果的了香蕉不太新鲜而且跟奶油在一起很糊嘴不太好吃环境跟其他满记的普遍风格不太一样这家走明亮风很亮堂桌椅都是白的
食物,名称,满记
满记,外形,明亮风很亮堂
满记,外形,白的
满记,外形,芒果糯米糍
满记,外形,香蕉班戟
满记,外形,芒果班戟
满记,外形,芒果黑糯米
满记,外形,满记
火锅,味道,鲜美
火锅,口感,原汁原味
火锅,外形,油油
火锅,外形,大
火锅,外形,大大的
火锅,外形,大圆桌
食物,名称,羊蝎子
羊蝎子,外形,鲜美
羊蝎子,外形,大大的
食物,名称,小点心脆皮香蕉
小点心脆皮香蕉,口感,香甜可口
小点心脆皮香蕉,外形,香甜可口
小点心脆皮香蕉,外形,奶黄包
食物,名称,牛腩哨子
牛腩哨子,口感,香甜可口
牛腩哨子,外形,一口入嘴
牛腩哨子,外形,小小的
食物,名称,奶黄包
奶黄包,口感,香甜可口
食物,名称,老北京火锅
老北京火锅,味道,古色古香
老北京火锅,外形,原汁原味
老北京火锅,外形,红灯笼
老北京火锅,外形,大圆桌
老北京火锅,外形,大大的
老北京火锅,外形,大
老北京火锅,外形,古色古香
面条,口感,有咬劲
面条,外形,劲道
面条,外形,宽面
食物,名称,内蒙蒸羊肉卷
内蒙蒸羊肉卷,外形,鲜美
内蒙蒸羊肉卷,外形,大大的
食物,名称,老北京杂酱面
老北京杂酱面,口感,劲道
老北京杂酱面,外形,有咬劲
老北京杂酱面,外形,宽面
食物,名称,手抓羊排
手抓羊排,味道,不膻
手抓羊排,口感,美味
手抓羊排,外形,一口入嘴
手抓羊排,外形,小小的
食物,名称,景泰蓝火锅炉
景泰蓝火锅炉,外形,鲜美
景泰蓝火锅炉,外形,大
景泰蓝火锅炉,外形,大圆桌
景泰蓝火锅炉,外形,大大的
老北京火锅,外形,火锅
老北京火锅,外形,羊蝎子
老北京火锅,外形,小点心脆皮香蕉
老北京火锅,外形,牛腩哨子
老北京火锅,外形,奶黄包
老北京火锅,外形,老北京火锅
老北京火锅,外形,面条
老北京火锅,外形,内蒙蒸羊肉卷
老北京火锅,外形,老北京杂酱面
老北京火锅,外形,手抓羊排
老北京火锅,外形,景泰蓝火锅炉
食物,名称,冰糖莲子桂圆汤
冰糖莲子桂圆汤,口感,甜
冰糖莲子桂圆汤,口感,冰的
冰糖莲子桂圆汤,外形,饱满
