subject,relation,object,count
赤豆酒酿圆子,味道,入味,2
赤豆酒酿圆子,味道,千层油糕,2
赤豆酒酿圆子,味道,汤,2
赤豆酒酿圆子,味道,王府豉油,2
赤豆酒酿圆子,味道,珊瑚蚌,2
赤豆酒酿圆子,味道,竹蔗马蹄水,2
赤豆酒酿圆子,味道,葱油豆干,2
赤豆酒酿圆子,味道,麻辣鸭血,2
辣肉松面包,外形,乳酪塔,2
辣肉松面包,外形,奶油蛋糕,2
辣肉松面包,外形,辣肉松面包,2
酒酿,外形,小圆子,2
酒酿,外形,火锅,2
酱排骨,外形,肥瘦适中,2
酱油红汤底,口感,清淡,2
酸奶,外形,乐天玛特,2
酸奶,外形,酸奶,2
酸菜鱼,味道,不甜,2
酸辣粉,味道,地道,2
酸辣粉,味道,川辣,2
酸辣粉,味道,辣味儿,2
重庆火锅,味道,麻,2
金吉鱼,口感,细腻,2
金吉鱼,口感,鲜甜肥美,2
金针菇,口感,正宗,2
金针菇,口感,黄黄的,2
金针菇,外形,脆脆的,2
金针菇,外形,黄黄的,2
钵钵青菜,口感,温和,2
霸王餐,口感,新鲜,2
霸王餐,口感,有嚼劲,2
霸王餐,味道,三文鱼,2
霸王餐,味道,不辣,2
霸王餐,味道,冬瓜茶,2
霸王餐,味道,章鱼烧,2
霸王餐,味道,雪蟹福袋,2
霸王餐,味道,香,2
霸王餐,外形,养生山药红枣汁,2
霸王餐,外形,娇子肥牛,2
霸王餐,外形,有筋道,2
霸王餐,外形,白白的,2
霸王餐,外形,盐商椒麻鸡,2
霸王餐,外形,盐府老宅豆腐,2
霸王餐,外形,肥牛,2
霸王餐,外形,豆汤豌豆苗,2
霸王餐,外形,香煎米粑,2
青笋片,口感,钟水饺,2
青笋片,口感,青笋片,2
青菜豆腐锅仔,口感,青菜豆腐锅仔,2
非一般腐竹,味道,客家豆腐,2
非一般腐竹,味道,小炒黄牛肉,2
非一般腐竹,味道,棒棒棒虾,2
非一般腐竹,味道,番薯饼,2
非一般腐竹,味道,葱油有机花菜,2
非一般腐竹,味道,非一般腐竹,2
非一般腐竹,味道,风口上会飞的鱼,2
面条,口感,没有期待中的美味,2
面条,外形,坨了汁,2
面条,外形,精致,2
面线糊,口感,米线,2
面线糊,口感,荤素海鲜,2
面馆,外形,粗大,2
食物,名称,二郎田鸡,2
食物,名称,云南大救驾,2
食物,名称,传统烤鸭,2
食物,名称,全聚德,2
食物,名称,兰拉面,2
食物,名称,养生粥,2
食物,名称,冰糖莲子桂圆汤,2
食物,名称,凤爪,2
食物,名称,剁椒牛肉米线,2
食物,名称,剁椒鱼头,2
食物,名称,十三香,2
食物,名称,卷馍,2
食物,名称,味增汤,2
食物,名称,啤酒,2
食物,名称,土豆丸,2
食物,名称,奇异果多多,2
食物,名称,布丁,2
食物,名称,年糕玉米,2
食物,名称,开背虾,2
食物,名称,意式咖啡,2
食物,名称,担担面,2
食物,名称,拉面,2
食物,名称,提拉米苏,2
食物,名称,杨枝甘露,2
食物,名称,梅菜扣肉,2
食物,名称,水波蛋,2
食物,名称,汉堡,2
食物,名称,沙拉,2
食物,名称,泡菜炒五花肉,2
食物,名称,海鲜,2
食物,名称,清炒虾仁,2
食物,名称,炉鱼,2
食物,名称,炒饭,2
食物,名称,烟熏三文鱼,2
食物,名称,烤西红柿,2
食物,名称,烧烤,2
食物,名称,烧饼,2
食物,名称,牛排,2
食物,名称,男眼镜,2
食物,名称,皇后面包,2
食物,名称,皮蛋瘦肉粥,2
食物,名称,石盘烤肉,2
食物,名称,米饭,2
食物,名称,糖醋排骨,2
食物,名称,红烧肉,2
食物,名称,羊排,2
食物,名称,肉夹馍,2
食物,名称,肉汁萝卜,2
食物,名称,肥牛,2
食物,名称,芒果千层,2
食物,名称,芒果糯米糍,2
食物,名称,蛋饺,2
食物,名称,赤豆酒酿圆子,2
食物,名称,酒酿,2
食物,名称,酸菜鱼,2
食物,名称,重庆火锅,2
食物,名称,金针菇,2
食物,名称,锅包肉,2
食物,名称,雪花牛肉,2
食物,名称,韭菜炒鸡蛋,2
食物,名称,鱼香肉丝,2
食物,名称,鸡爪,2
饺子,口感,肉三鲜,2
饺子,口感,锅包肉,2
饺子,口感,饺子,2
饺子,口感,鲍鱼茄子煲,2
饺子,外形,东北菜馆,2
饺子,外形,京酱肉丝,2
饺子,外形,哈尔滨红肠,2
饺子,外形,手工包的,2
饺子,外形,烧鸡,2
饺子,外形,酱猪手,2
饺子,外形,饺子,2
鳗鱼寿司,外形,薄厚适中,2
鸡汤刀削面,外形,刀削面,2
鸡汤刀削面,外形,杂酱面,2
鸡汤刀削面,外形,油泼面,2
鸡汤刀削面,外形,炒刀削面,2
鸡汤刀削面,外形,鸡汤刀削面,2
鸡茸蘑菇汤,外形,牛排,2
鸡茸蘑菇汤,外形,青柠苏打,2
鸡茸蘑菇汤,外形,鸡茸蘑菇汤,2
鸡茸蘑菇汤,外形,鹅肝炒饭,2
麻辣,外形,夫妻肺片,2
麻辣,外形,烤鸭店,2
麻辣,外形,精品烤鸭,2
麻辣,外形,香橙萝卜苗儿,2
麻辣,外形,麻辣,2
麻辣宽粉,外形,三文鱼,2
麻辣宽粉,外形,五花肉,2
麻辣宽粉,外形,排骨,2
麻辣宽粉,外形,泡椒茄子,2
麻辣宽粉,外形,火锅,2
麻辣宽粉,外形,生牛肉,2
麻辣宽粉,外形,鬼饮食,2
麻辣宽粉,外形,麻辣宽粉,2
麻辣牛肉,味道,嘎嘎,2
麻辣牛肉,味道,桃园三结义,2
麻辣牛肉,味道,辣,2
麻辣金针菇肥牛粉,口感,番茄牛肉粉,2
麻辣金针菇肥牛粉,口感,肥牛,2
麻辣金针菇肥牛粉,口感,麻辣金针菇肥牛粉,2
黄喉,外形,千层肚,2
黄喉,外形,午餐肉,2
黄喉,外形,毛肚,2
黄喉,外形,海霸王虾饺,2
黄喉,外形,火锅,2
黄喉,外形,肥羊,2
黄喉,外形,脆皮肠,2
黄喉,外形,虾饺,2
黄喉,外形,雪花牛肉,2
黄喉,外形,黄喉,2
黄瓜丝拌猪耳朵,外形,足,2
龙之梦,口感,沙棘汁,2
龙之梦,口感,烤羊棒,2
龙之梦,口感,烤羊腿,2
龙之梦,口感,西贝,2
龙之梦,口感,酸汤莜面鱼鱼,2
龙之梦,口感,黄米凉糕,2
龙之梦,口感,龙之梦,2
