,A,B,C
794,烧饼,味道,新鲜
795,烧饼,味道,新鲜
796,食物,名称,烧饼
797,烧饼,味道,新鲜
798,烧饼,味道,新鲜
799,烧饼,味道,烧饼
800,烧饼,味道,烧饼
801,烧饼,味道,烧饼
802,烧饼,味道,烧饼
803,食物,名称,盐府老宅豆腐
804,盐府老宅豆腐,味道,口淡
805,盐府老宅豆腐,口感,不怎么入味
806,盐府老宅豆腐,口感,嫩
807,食物,名称,肥牛
808,肥牛,口感,肥腻
809,食物,名称,盐商椒麻鸡
810,盐商椒麻鸡,口感,麻麻的
811,食物,名称,养生山药红枣汁
812,养生山药红枣汁,味道,浓浓的
813,养生山药红枣汁,味道,红枣味
814,养生山药红枣汁,口感,甜
815,养生山药红枣汁,口感,浓稠
816,养生山药红枣汁,口感,好
817,食物,名称,香煎米粑
818,香煎米粑,口感,焦焦的
819,香煎米粑,外形,不腻
820,香煎米粑,外形,焦焦的
821,食物,名称,豆汤豌豆苗
822,豆汤豌豆苗,味道,怪怪的
823,食物,名称,娇子肥牛
824,娇子肥牛,外形,肥腻
825,娇子肥牛,外形,大大的
826,食物,名称,霸王餐
827,霸王餐,外形,古香古色
828,霸王餐,外形,盐府老宅豆腐
829,霸王餐,外形,肥牛
830,霸王餐,外形,盐商椒麻鸡
831,霸王餐,外形,养生山药红枣汁
832,霸王餐,外形,香煎米粑
833,霸王餐,外形,豆汤豌豆苗
834,霸王餐,外形,娇子肥牛
835,霸王餐,外形,霸王餐
836,霸王餐,外形,盐府老宅豆腐
837,霸王餐,外形,肥牛
838,霸王餐,外形,盐商椒麻鸡
839,霸王餐,外形,养生山药红枣汁
840,霸王餐,外形,香煎米粑
841,霸王餐,外形,豆汤豌豆苗
842,霸王餐,外形,娇子肥牛
843,霸王餐,外形,霸王餐
844,食物,名称,午餐肉
845,午餐肉,口感,有韧度
846,午餐肉,口感,嫩
847,食物,名称,海霸王虾饺
848,海霸王虾饺,味道,臭的
849,海霸王虾饺,味道,骚臭味
850,食物,名称,千层肚
851,千层肚,口感,新鲜
852,千层肚,外形,脆
853,千层肚,外形,一片片
854,食物,名称,毛肚
855,毛肚,口感,新鲜
856,毛肚,外形,脆
857,毛肚,外形,一片片
858,食物,名称,肥羊
859,肥羊,外形,嫩
860,肥羊,外形,多
861,食物,名称,火锅
862,火锅,味道,正宗
863,火锅,味道,正宗
864,食物,名称,雪花牛肉
865,雪花牛肉,外形,老
866,雪花牛肉,外形,大一片
867,食物,名称,虾饺
868,虾饺,味道,骚臭味
869,虾饺,口感,臭的
870,虾饺,口感,嫩
871,食物,名称,脆皮肠
872,脆皮肠,味道,没有异味
873,食物,名称,黄喉
874,黄喉,口感,不地道
875,黄喉,口感,脆
876,黄喉,外形,嫩
877,黄喉,外形,大片
878,黄喉,外形,午餐肉
879,黄喉,外形,海霸王虾饺
880,黄喉,外形,千层肚
881,黄喉,外形,毛肚
882,黄喉,外形,肥羊
883,黄喉,外形,火锅
884,黄喉,外形,雪花牛肉
885,黄喉,外形,虾饺
886,黄喉,外形,脆皮肠
887,黄喉,外形,黄喉
888,黄喉,外形,午餐肉
889,黄喉,外形,海霸王虾饺
890,黄喉,外形,千层肚
891,黄喉,外形,毛肚
892,黄喉,外形,肥羊
893,黄喉,外形,火锅
894,黄喉,外形,雪花牛肉
895,黄喉,外形,虾饺
896,黄喉,外形,脆皮肠
897,黄喉,外形,黄喉
898,食物,名称,清炒虾仁
899,清炒虾仁,外形,小
900,清炒虾仁,外形,小
901,清炒虾仁,外形,小
902,食物,名称,清蒸桂鱼
903,清蒸桂鱼,外形,巴拉不下来
904,清蒸桂鱼,外形,巴拉不下来
905,清蒸桂鱼,外形,酱爆八爪鱼
906,清蒸桂鱼,外形,老虎蟹
907,食物,名称,糖醋排骨
908,糖醋排骨,味道,咸
909,食物,名称,糖醋排骨
910,糖醋排骨,味道,咸
911,食物,名称,烧菜
912,烧菜,口感,咸
913,烧菜,口感,烧焦
914,烧菜,口感,清炒虾仁
915,烧菜,口感,清蒸桂鱼
916,烧菜,口感,酱爆八爪鱼
917,烧菜,口感,老虎蟹
918,烧菜,口感,糖醋排骨
919,烧菜,口感,糖醋排骨
920,烧菜,口感,烧菜
921,烧菜,口感,清炒虾仁
922,烧菜,口感,清蒸桂鱼
923,烧菜,口感,酱爆八爪鱼
924,烧菜,口感,老虎蟹
925,烧菜,口感,糖醋排骨
926,烧菜,口感,糖醋排骨
927,烧菜,口感,烧菜
928,食物,名称,手切鲜羊肉
929,手切鲜羊肉,口感,好
930,手切鲜羊肉,口感,老北京涮羊肉
931,手切鲜羊肉,口感,手切鲜羊肉
932,手切鲜羊肉,口感,老北京涮羊肉
933,手切鲜羊肉,口感,手切鲜羊肉
934,手切鲜羊肉,口感,老北京涮羊肉
935,食物,名称,厚牛排
936,厚牛排,外形,嫩
937,厚牛排,外形,厚
938,食物,名称,海陆大餐
939,海陆大餐,外形,嫩
940,海陆大餐,外形,厚
941,海陆大餐,外形,厚牛排
942,海陆大餐,外形,海陆大餐
943,海陆大餐,外形,厚牛排
944,海陆大餐,外形,海陆大餐
945,食物,名称,烤晶鱼
946,烤晶鱼,口感,咸
947,烤晶鱼,外形,好大一抹绿色
948,烤晶鱼,外形,好大一抹绿色
949,食物,名称,黑牛
950,黑牛,口感,新鲜
951,黑牛,口感,嫩
952,食物,名称,冷面
953,冷面,味道,有酸甜
954,冷面,味道,咸口
955,冷面,口感,有咸口
956,冷面,口感,有咸口
957,冷面,口感,烤晶鱼
958,冷面,口感,黑牛
959,冷面,口感,冷面
960,冷面,口感,烤晶鱼
961,冷面,口感,黑牛
962,冷面,口感,冷面
963,食物,名称,胡椒猪肚鸡
964,胡椒猪肚鸡,味道,吃不惯
965,胡椒猪肚鸡,口感,胡椒味
966,胡椒猪肚鸡,外形,酥
967,胡椒猪肚鸡,外形,多
968,胡椒猪肚鸡,外形,火锅
969,食物,名称,捞王
970,捞王,味道,胡椒味
971,食物,名称,煲仔饭
972,煲仔饭,味道,清淡
973,煲仔饭,口感,新鲜
974,煲仔饭,口感,清淡
975,食物,名称,蛋饺
976,蛋饺,外形,香
977,蛋饺,外形,多
978,食物,名称,蛋饺
979,蛋饺,外形,香
980,蛋饺,外形,多
981,蛋饺,外形,胡椒猪肚鸡
982,蛋饺,外形,火锅
983,蛋饺,外形,捞王
984,蛋饺,外形,煲仔饭
985,蛋饺,外形,蛋饺
986,蛋饺,外形,蛋饺
987,蛋饺,外形,胡椒猪肚鸡
988,蛋饺,外形,火锅
989,蛋饺,外形,捞王
990,蛋饺,外形,煲仔饭
991,蛋饺,外形,蛋饺
992,蛋饺,外形,蛋饺
993,食物,名称,小点心
994,小点心,口感,撤空盘子
995,食物,名称,烤生蚝
996,烤生蚝,外形,多
997,烤生蚝,外形,小点心
998,烤生蚝,外形,烤生蚝
999,烤生蚝,外形,小点心
1000,烤生蚝,外形,烤生蚝
1001,食物,名称,青菜豆腐锅仔
1002,青菜豆腐锅仔,口感,油
1003,青菜豆腐锅仔,口感,青菜豆腐锅仔
1004,青菜豆腐锅仔,口感,青菜豆腐锅仔
1005,食物,名称,叉烧包
1006,叉烧包,味道,咸
1007,食物,名称,南瓜煲
1008,南瓜煲,外形,不错
1009,食物,名称,椒盐虾
1010,椒盐虾,口感,辣
1011,椒盐虾,口感,油腻
1012,食物,名称,泡饭
1013,泡饭,口感,鲜
1014,泡饭,口感,脆脆的
1015,食物,名称,腐皮虾卷
1016,腐皮虾卷,外形,不腻口
1017,腐皮虾卷,外形,大
1018,腐皮虾卷,外形,凤爪
1019,食物,名称,海鲜泡饭
1020,海鲜泡饭,口感,鲜
1021,海鲜泡饭,口感,脆脆的
1022,海鲜泡饭,口感,叉烧包
1023,海鲜泡饭,口感,南瓜煲
1024,海鲜泡饭,口感,椒盐虾
1025,海鲜泡饭,口感,泡饭
1026,海鲜泡饭,口感,腐皮虾卷
1027,海鲜泡饭,口感,凤爪
1028,海鲜泡饭,口感,海鲜泡饭
1029,海鲜泡饭,口感,叉烧包
1030,海鲜泡饭,口感,南瓜煲
1031,海鲜泡饭,口感,椒盐虾
1032,海鲜泡饭,口感,泡饭
1033,海鲜泡饭,口感,腐皮虾卷
1034,海鲜泡饭,口感,凤爪
1035,海鲜泡饭,口感,海鲜泡饭
1036,食物,名称,日本料理
1037,日本料理,味道,沒果汁
1038,食物,名称,羊排
1039,羊排,口感,烤好拿
1040,食物,名称,牛排
1041,牛排,口感,烤好拿
1042,牛排,口感,日本料理
1043,牛排,口感,羊排
1044,牛排,口感,牛排
1045,牛排,口感,日本料理
1046,牛排,口感,羊排
1047,牛排,口感,牛排
1048,,,客家豆腐
1049,食物,名称,风口上会飞的鱼
1050,风口上会飞的鱼,口感,重口味
1051,风口上会飞的鱼,口感,脆脆的
1052,风口上会飞的鱼,口感,葱油有机花菜
1053,食物,名称,小炒黄牛肉
1054,小炒黄牛肉,口感,浓厚
1055,小炒黄牛肉,口感,炒出来的
1056,小炒黄牛肉,口感,番薯饼
1057,食物,名称,棒棒棒虾
1058,棒棒棒虾,口感,没啥味道
1059,棒棒棒虾,外形,硬硬的
1060,棒棒棒虾,外形,硬硬的
1061,食物,名称,非一般腐竹
1062,非一般腐竹,味道,好味
1063,非一般腐竹,味道,客家豆腐
1064,非一般腐竹,味道,风口上会飞的鱼
1065,非一般腐竹,味道,葱油有机花菜
1066,非一般腐竹,味道,小炒黄牛肉
1067,非一般腐竹,味道,番薯饼
1068,非一般腐竹,味道,棒棒棒虾
1069,非一般腐竹,味道,非一般腐竹
1070,非一般腐竹,味道,客家豆腐
1071,非一般腐竹,味道,风口上会飞的鱼
1072,非一般腐竹,味道,葱油有机花菜
1073,非一般腐竹,味道,小炒黄牛肉
1074,非一般腐竹,味道,番薯饼
1075,非一般腐竹,味道,棒棒棒虾
1076,非一般腐竹,味道,非一般腐竹
1077,食物,名称,火锅
1078,火锅,外形,炭火的
1079,火锅,外形,炭火的
1080,火锅,外形,火锅
1081,火锅,外形,火锅
1082,食物,名称,冬阴功汤
1083,冬阴功汤,口感,新鲜
1084,冬阴功汤,口感,油腻
1085,冬阴功汤,口感,黄咖喱鸡
1086,冬阴功汤,口感,三杯鸡
1087,冬阴功汤,口感,三杯鸡
1088,冬阴功汤,口感,泰式烤猪颈肉
1089,食物,名称,冬阴功汤
1090,冬阴功汤,口感,新鲜
1091,冬阴功汤,口感,油腻
1092,冬阴功汤,口感,黄咖喱鸡
1093,冬阴功汤,口感,菠萝海鲜饭
1094,冬阴功汤,口感,冬阴功汤
1095,冬阴功汤,口感,黄咖喱鸡
1096,冬阴功汤,口感,三杯鸡
1097,冬阴功汤,口感,三杯鸡
1098,冬阴功汤,口感,泰式烤猪颈肉
1099,冬阴功汤,口感,冬阴功汤
1100,冬阴功汤,口感,黄咖喱鸡
1101,冬阴功汤,口感,菠萝海鲜饭
1102,冬阴功汤,口感,冬阴功汤
1103,冬阴功汤,口感,黄咖喱鸡
1104,冬阴功汤,口感,三杯鸡
1105,冬阴功汤,口感,三杯鸡
1106,冬阴功汤,口感,泰式烤猪颈肉
1107,冬阴功汤,口感,冬阴功汤
1108,冬阴功汤,口感,黄咖喱鸡
1109,冬阴功汤,口感,菠萝海鲜饭
1110,食物,名称,辣子鸡
1111,辣子鸡,味道,正宗
1112,辣子鸡,味道,霸王餐
1113,食物,名称,萍乡小炒肉
1114,萍乡小炒肉,口感,正宗
1115,萍乡小炒肉,口感,外酥里嫩
1116,食物,名称,土豆丸
1117,土豆丸,口感,正宗
1118,土豆丸,口感,外酥里嫩
1119,食物,名称,米椒辣子鸡
1120,米椒辣子鸡,口感,正宗
1121,米椒辣子鸡,口感,外酥里嫩
1122,食物,名称,土豆丸
1123,土豆丸,口感,正宗
1124,土豆丸,口感,外酥里嫩
1125,土豆丸,口感,辣子鸡
1126,土豆丸,口感,霸王餐
1127,土豆丸,口感,萍乡小炒肉
1128,土豆丸,口感,土豆丸
1129,土豆丸,口感,米椒辣子鸡
1130,土豆丸,口感,土豆丸
1131,土豆丸,口感,辣子鸡
1132,土豆丸,口感,霸王餐
1133,土豆丸,口感,萍乡小炒肉
1134,土豆丸,口感,土豆丸
1135,土豆丸,口感,米椒辣子鸡
1136,土豆丸,口感,土豆丸
1137,食物,名称,火焰虾
1138,火焰虾,口感,笑辣
1139,火焰虾,口感,嫩
1140,火焰虾,口感,绿茶
1141,食物,名称,海鲜咖喱卷
1142,海鲜咖喱卷,外形,稀
1143,海鲜咖喱卷,外形,少
1144,海鲜咖喱卷,外形,火焰虾
1145,海鲜咖喱卷,外形,绿茶
1146,海鲜咖喱卷,外形,海鲜咖喱卷
1147,海鲜咖喱卷,外形,火焰虾
1148,海鲜咖喱卷,外形,绿茶
1149,海鲜咖喱卷,外形,海鲜咖喱卷
1150,食物,名称,乐天玛特
1151,乐天玛特,外形,漂亮
1152,食物,名称,酸奶
1153,酸奶,外形,漂亮
1154,酸奶,外形,乐天玛特
1155,酸奶,外形,酸奶
1156,酸奶,外形,乐天玛特
1157,酸奶,外形,酸奶
1158,食物,名称,小凉菜
1159,小凉菜,口感,燥
1160,小凉菜,口感,燥
1161,食物,名称,啤酒
1162,啤酒,味道,熏
1163,啤酒,味道,小凉菜
1164,啤酒,味道,啤酒
1165,啤酒,味道,小凉菜
1166,啤酒,味道,啤酒
1167,食物,名称,煎饼卷小豆腐
1168,煎饼卷小豆腐,外形,好看
1169,煎饼卷小豆腐,外形,煎饼卷小豆腐
1170,煎饼卷小豆腐,外形,煎饼卷小豆腐
1171,食物,名称,黑鱼蕃茄锅
1172,黑鱼蕃茄锅,外形,浓郁
1173,黑鱼蕃茄锅,外形,两大一小
1174,食物,名称,蕃茄锅汤
1175,蕃茄锅汤,味道,浓郁
1176,蕃茄锅汤,味道,黑鱼蕃茄锅
1177,蕃茄锅汤,味道,蕃茄锅汤
1178,蕃茄锅汤,味道,黑鱼蕃茄锅
1179,蕃茄锅汤,味道,蕃茄锅汤
1180,,,水
1181,食物,名称,烤哇哇叫
1182,烤哇哇叫,味道,美味
1183,食物,名称,炉鱼
1184,炉鱼,味道,烤鱼的香味
1185,炉鱼,外形,冰冰凉凉的
1186,炉鱼,外形,可爱
1187,食物,名称,青皖烤鱼
1188,青皖烤鱼,味道,香
1189,青皖烤鱼,口感,越烤越入味
1190,青皖烤鱼,口感,鲜嫩可口
1191,青皖烤鱼,口感,脆皮
1192,食物,名称,烤鱼
1193,烤鱼,味道,香
1194,烤鱼,口感,香味
1195,烤鱼,口感,脆皮
1196,烤鱼,外形,鲜嫩可口
1197,烤鱼,外形,可爱
1198,食物,名称,炉鱼
1199,炉鱼,味道,烤鱼的香味
1200,炉鱼,外形,冰冰凉凉的
1201,炉鱼,外形,可爱
1202,炉鱼,外形,水
1203,炉鱼,外形,烤哇哇叫
1204,炉鱼,外形,炉鱼
1205,炉鱼,外形,青皖烤鱼
1206,炉鱼,外形,烤鱼
1207,炉鱼,外形,炉鱼
1208,炉鱼,外形,水
1209,炉鱼,外形,烤哇哇叫
1210,炉鱼,外形,炉鱼
1211,炉鱼,外形,青皖烤鱼
1212,炉鱼,外形,烤鱼
1213,炉鱼,外形,炉鱼
1214,食物,名称,卤菜
1215,卤菜,口感,有味道
1216,卤菜,外形,不腻人
1217,卤菜,外形,大
1218,食物,名称,烧白
1219,烧白,外形,不腻人
1220,烧白,外形,大
1221,烧白,外形,大
1222,食物,名称,什么鸡
1223,什么鸡,外形,大
1224,食物,名称,剁椒茄子
1225,剁椒茄子,口感,偏辣
1226,剁椒茄子,口感,不腻人
1227,剁椒茄子,口感,卤菜
1228,剁椒茄子,口感,烧白
1229,剁椒茄子,口感,什么鸡
1230,剁椒茄子,口感,剁椒茄子
1231,剁椒茄子,口感,卤菜
1232,剁椒茄子,口感,烧白
1233,剁椒茄子,口感,什么鸡
1234,剁椒茄子,口感,剁椒茄子
1235,食物,名称,鱼香肉丝
1236,鱼香肉丝,口感,甜甜的
1237,鱼香肉丝,口感,甜甜的
1238,食物,名称,炒猪肝
1239,炒猪肝,口感,嫩滑
1240,食物,名称,韭菜炒鸡蛋
1241,韭菜炒鸡蛋,外形,老
1242,韭菜炒鸡蛋,外形,老
1243,食物,名称,炒猪肝
1244,炒猪肝,口感,嫩滑
1245,食物,名称,鱼香肉丝
1246,鱼香肉丝,口感,甜甜的
1247,鱼香肉丝,口感,甜甜的
1248,食物,名称,炒猪肝
1249,炒猪肝,口感,嫩滑
1250,食物,名称,韭菜炒鸡蛋
1251,韭菜炒鸡蛋,外形,老
1252,韭菜炒鸡蛋,外形,老
1253,韭菜炒鸡蛋,外形,鱼香肉丝
1254,韭菜炒鸡蛋,外形,炒猪肝
1255,韭菜炒鸡蛋,外形,韭菜炒鸡蛋
1256,韭菜炒鸡蛋,外形,炒猪肝
1257,韭菜炒鸡蛋,外形,鱼香肉丝
1258,韭菜炒鸡蛋,外形,炒猪肝
1259,韭菜炒鸡蛋,外形,韭菜炒鸡蛋
1260,韭菜炒鸡蛋,外形,鱼香肉丝
1261,韭菜炒鸡蛋,外形,炒猪肝
1262,韭菜炒鸡蛋,外形,韭菜炒鸡蛋
1263,韭菜炒鸡蛋,外形,炒猪肝
1264,韭菜炒鸡蛋,外形,鱼香肉丝
1265,韭菜炒鸡蛋,外形,炒猪肝
1266,韭菜炒鸡蛋,外形,韭菜炒鸡蛋
1267,,,奶油蛋糕
1268,食物,名称,乳酪塔
1269,乳酪塔,味道,酸甜
1270,食物,名称,辣肉松面包
1271,辣肉松面包,味道,辣味
1272,辣肉松面包,口感,浓郁
1273,辣肉松面包,口感,满软的
1274,辣肉松面包,外形,油腻
1275,辣肉松面包,外形,厚厚的
1276,辣肉松面包,外形,奶油蛋糕
1277,辣肉松面包,外形,乳酪塔
1278,辣肉松面包,外形,辣肉松面包
1279,辣肉松面包,外形,奶油蛋糕
1280,辣肉松面包,外形,乳酪塔
1281,辣肉松面包,外形,辣肉松面包
1282,,,摇滚沙拉
1283,食物,名称,热狗汉堡
1284,热狗汉堡,外形,多
1285,热狗汉堡,外形,照烧
1286,热狗汉堡,外形,薯条
1287,热狗汉堡,外形,张宇饼
1288,热狗汉堡,外形,星巴克
1289,热狗汉堡,外形,咖喱
1290,热狗汉堡,外形,摇滚沙拉
1291,热狗汉堡,外形,热狗汉堡
1292,热狗汉堡,外形,照烧
1293,热狗汉堡,外形,薯条
1294,热狗汉堡,外形,张宇饼
1295,热狗汉堡,外形,星巴克
1296,热狗汉堡,外形,咖喱
1297,热狗汉堡,外形,摇滚沙拉
1298,热狗汉堡,外形,热狗汉堡
1299,热狗汉堡,外形,照烧
1300,热狗汉堡,外形,薯条
1301,热狗汉堡,外形,张宇饼
1302,热狗汉堡,外形,星巴克
1303,热狗汉堡,外形,咖喱
1304,食物,名称,呷哺呷哺
1305,呷哺呷哺,口感,新鲜
1306,呷哺呷哺,口感,饱
1307,呷哺呷哺,口感,呷哺呷哺
1308,呷哺呷哺,口感,呷哺呷哺
1309,食物,名称,榴莲烤鸡
1310,榴莲烤鸡,口感,咸
1311,榴莲烤鸡,外形,好大一块
1312,榴莲烤鸡,外形,好大一块
1313,食物,名称,榴莲大肠
1314,榴莲大肠,味道,咸
1315,食物,名称,焦糖布丁
1316,焦糖布丁,味道,甜
1317,焦糖布丁,外形,奶味十足
1318,焦糖布丁,外形,小小的
1319,食物,名称,红糖糍粑
1320,红糖糍粑,口感,饱
1321,红糖糍粑,外形,粘在盘子上
1322,红糖糍粑,外形,块头不小
1323,红糖糍粑,外形,榴莲烤鸡
1324,红糖糍粑,外形,榴莲大肠
1325,红糖糍粑,外形,焦糖布丁
1326,红糖糍粑,外形,红糖糍粑
1327,红糖糍粑,外形,榴莲烤鸡
1328,红糖糍粑,外形,榴莲大肠
1329,红糖糍粑,外形,焦糖布丁
1330,红糖糍粑,外形,红糖糍粑
1331,,,七分甜
1332,食物,名称,奇异果多多
1333,奇异果多多,味道,酸
1334,食物,名称,奇异果多多
1335,奇异果多多,味道,酸
1336,食物,名称,芒果颗粒
1337,芒果颗粒,味道,酸
1338,芒果颗粒,味道,芒果西米露
1339,食物,名称,西柚多多
1340,西柚多多,口感,苦
1341,西柚多多,口感,不是很好
1342,西柚多多,口感,七分甜
1343,西柚多多,口感,奇异果多多
1344,西柚多多,口感,奇异果多多
1345,西柚多多,口感,芒果颗粒
1346,西柚多多,口感,芒果西米露
1347,西柚多多,口感,西柚多多
1348,西柚多多,口感,七分甜
1349,西柚多多,口感,奇异果多多
1350,西柚多多,口感,奇异果多多
1351,西柚多多,口感,芒果颗粒
1352,西柚多多,口感,芒果西米露
1353,西柚多多,口感,西柚多多
1354,食物,名称,酸奶吐司
1355,酸奶吐司,外形,漂亮
1356,食物,名称,芝士肉酱薯条
1357,芝士肉酱薯条,口感,干
1358,食物,名称,冰淇淋
1359,冰淇淋,外形,硬硬的
1360,冰淇淋,外形,球球面包
1361,冰淇淋,外形,奶酪鸡肉
1362,食物,名称,蓝天白云
1363,蓝天白云,外形,甜甜的
1364,蓝天白云,外形,好看
1365,蓝天白云,外形,酸奶吐司
1366,蓝天白云,外形,芝士肉酱薯条
1367,蓝天白云,外形,冰淇淋
1368,蓝天白云,外形,奶酪鸡肉
1369,蓝天白云,外形,蓝天白云
1370,蓝天白云,外形,酸奶吐司
1371,蓝天白云,外形,芝士肉酱薯条
1372,蓝天白云,外形,冰淇淋
1373,蓝天白云,外形,奶酪鸡肉
1374,蓝天白云,外形,蓝天白云
1375,,,鲍鱼茄子煲
1376,,,肉三鲜
1377,食物,名称,锅包肉
1378,锅包肉,口感,不错
1379,食物,名称,饺子
1380,饺子,口感,出色
1381,饺子,口感,猪肉香菇
1382,饺子,口感,鲍鱼茄子煲
1383,饺子,口感,肉三鲜
1384,饺子,口感,锅包肉
1385,饺子,口感,饺子
1386,饺子,口感,猪肉香菇
1387,饺子,口感,鲍鱼茄子煲
1388,饺子,口感,肉三鲜
1389,饺子,口感,锅包肉
1390,饺子,口感,饺子
1391,饺子,口感,猪肉香菇
1392,,,海鲜
1393,食物,名称,烤生蚝
1394,烤生蚝,口感,淡
1395,烤生蚝,外形,小
1396,烤生蚝,外形,小
1397,烤生蚝,外形,饺子
1398,烤生蚝,外形,馄饨
1399,烤生蚝,外形,海鲜
1400,烤生蚝,外形,烤生蚝
1401,烤生蚝,外形,饺子
1402,烤生蚝,外形,馄饨
1403,烤生蚝,外形,海鲜
1404,烤生蚝,外形,烤生蚝
1405,烤生蚝,外形,饺子
1406,烤生蚝,外形,馄饨
1407,,,晾衣鹅肠
1408,食物,名称,龙虾丸
1409,龙虾丸,味道,辣味
1410,龙虾丸,味道,膻
1411,食物,名称,芝士烤大虾
1412,芝士烤大虾,口感,淡
1413,芝士烤大虾,外形,老
1414,芝士烤大虾,外形,老
1415,食物,名称,雪花牛肉
1416,雪花牛肉,味道,膻
1417,雪花牛肉,味道,辣味
1418,食物,名称,咕嘟草帽鱼
1419,咕嘟草帽鱼,味道,原味的
1420,咕嘟草帽鱼,味道,腥
1421,咕嘟草帽鱼,口感,不腥
1422,咕嘟草帽鱼,口感,嫩
1423,咕嘟草帽鱼,外形,雪白
1424,咕嘟草帽鱼,外形,雪白
1425,咕嘟草帽鱼,外形,晾衣鹅肠
1426,咕嘟草帽鱼,外形,龙虾丸
1427,咕嘟草帽鱼,外形,芝士烤大虾
1428,咕嘟草帽鱼,外形,雪花牛肉
1429,咕嘟草帽鱼,外形,咕嘟草帽鱼
1430,咕嘟草帽鱼,外形,晾衣鹅肠
1431,咕嘟草帽鱼,外形,龙虾丸
1432,咕嘟草帽鱼,外形,芝士烤大虾
1433,咕嘟草帽鱼,外形,雪花牛肉
1434,咕嘟草帽鱼,外形,咕嘟草帽鱼
1435,食物,名称,老火锅
1436,老火锅,味道,新鲜
1437,食物,名称,渣渣老火锅
1438,渣渣老火锅,味道,辣
1439,渣渣老火锅,味道,辣
1440,渣渣老火锅,味道,新鲜
1441,渣渣老火锅,味道,不香
1442,食物,名称,嫩牛肉片
1443,嫩牛肉片,味道,辣
1444,嫩牛肉片,口感,不香
1445,嫩牛肉片,口感,不错
1446,食物,名称,发鱿鱼
1447,发鱿鱼,味道,不香
1448,发鱿鱼,口感,辣
1449,发鱿鱼,口感,不错
1450,发鱿鱼,口感,老火锅
1451,发鱿鱼,口感,渣渣老火锅
1452,发鱿鱼,口感,嫩牛肉片
1453,发鱿鱼,口感,发鱿鱼
1454,发鱿鱼,口感,老火锅
1455,发鱿鱼,口感,渣渣老火锅
1456,发鱿鱼,口感,嫩牛肉片
1457,发鱿鱼,口感,发鱿鱼
1458,食物,名称,钵钵青菜
1459,钵钵青菜,口感,温和
1460,钵钵青菜,口感,温和
1461,食物,名称,相思牛肉
1462,相思牛肉,口感,辣
1463,相思牛肉,口感,好
1464,食物,名称,火锅
1465,火锅,口感,温和
1466,火锅,口感,温和
1467,食物,名称,冰淇淋
1468,冰淇淋,口感,好冰
1469,食物,名称,有机花菜
1470,有机花菜,口感,肥
1471,有机花菜,口感,腻
1472,食物,名称,蜜糖吐司
1473,蜜糖吐司,口感,好冰
1474,蜜糖吐司,口感,钵钵青菜
1475,蜜糖吐司,口感,相思牛肉
1476,蜜糖吐司,口感,火锅
1477,蜜糖吐司,口感,冰淇淋
1478,蜜糖吐司,口感,有机花菜
1479,蜜糖吐司,口感,蜜糖吐司
1480,蜜糖吐司,口感,钵钵青菜
1481,蜜糖吐司,口感,相思牛肉
1482,蜜糖吐司,口感,火锅
1483,蜜糖吐司,口感,冰淇淋
1484,蜜糖吐司,口感,有机花菜
1485,蜜糖吐司,口感,蜜糖吐司
1486,食物,名称,牛排馆
1487,牛排馆,外形,独幢的小别墅
1488,牛排馆,外形,其貌不扬
1489,食物,名称,凯撒色拉
1490,凯撒色拉,口感,清爽
1491,凯撒色拉,外形,清清口
1492,凯撒色拉,外形,其貌不扬
1493,食物,名称,小面包
1494,小面包,味道,其貌不扬
1495,小面包,口感,奶香味道十足
1496,小面包,口感,清爽
1497,小面包,口感,其貌不扬
1498,小面包,外形,清清口
1499,小面包,外形,其貌不扬
1500,食物,名称,西冷
1501,西冷,外形,其貌不扬
1502,食物,名称,牛排
1503,牛排,外形,其貌不扬
1504,牛排,外形,
1505,食物,名称,提拉米苏
1506,提拉米苏,口感,滑滑的
1507,食物,名称,布丁
1508,布丁,口感,滑滑的
1509,食物,名称,柠檬塔
1510,柠檬塔,口感,浓郁
1511,柠檬塔,外形,滑滑的
1512,柠檬塔,外形,漂亮
1513,食物,名称,橙汁西瓜汁
1514,橙汁西瓜汁,口感,鲜榨的
1515,食物,名称,汤
1516,汤,外形,多
1517,汤,外形,起泡酒
1518,汤,外形,奶油蘑菇汤
1519,食物,名称,披萨
1520,披萨,口感,咸
1521,披萨,口感,脆脆的
1522,披萨,外形,薄底的
1523,披萨,外形,薄底的
1524,食物,名称,汉堡
1525,汉堡,口感,鲜嫩多汁
1526,食物,名称,巧克力蛋糕
1527,巧克力蛋糕,口感,浓郁
1528,巧克力蛋糕,口感,滑滑的
1529,食物,名称,南瓜浓汤
1530,南瓜浓汤,味道,香
1531,南瓜浓汤,味道,鲜甜鲜甜
1532,南瓜浓汤,味道,奶油味
1533,食物,名称,披萨
1534,披萨,口感,咸
1535,披萨,口感,脆脆的
1536,披萨,外形,薄底的
1537,披萨,外形,薄底的
1538,披萨,外形,巴贝拉萨莉亚
1539,食物,名称,汉堡
1540,汉堡,口感,鲜嫩多汁
1541,汉堡,口感,牛排馆
1542,汉堡,口感,凯撒色拉
1543,汉堡,口感,小面包
1544,汉堡,口感,西冷
1545,汉堡,口感,牛排
1546,汉堡,口感,提拉米苏
1547,汉堡,口感,布丁
1548,汉堡,口感,柠檬塔
1549,汉堡,口感,橙汁西瓜汁
